COUNTER               VBLEMMA               VBCLASS               BNCFREQ               BNCRNKW               BNCRNKV               SIMRNKV               BNCQRTV
41                    approve               33;31;64              4823                  2021                  373                   251                   Q1                    
42                    argue                 37;36                 13124                 784                   161                   124                   Q1                    
43                    arrest                N/A                   3564                  2598                  471                   298                   Q1                    
44                    arrive                51                    13544                 749                   153                   116                   Q1                    
45                    ascend                47;51                 333                   13247                 1890                  690                   Q2                    
46                    ask                   60;37;58              52969                 155                   32                    23                    Q1                    
47                    assault               33                    718                   8077                  1244                  581                   Q1                    
48                    assist                72                    3792                  2469                  446                   286                   Q1                    
49                    associate             22                    8092                  1285                  251                   178                   Q1                    
50                    assume                93                    10338                 991                   202                   145                   Q1                    
51                    attach                22                    4475                  2157                  398                   260                   Q1                    
52                    attack                33                    5123                  1923                  356                   242                   Q1                    
53                    attempt               61                    8164                  1277                  247                   174                   Q1                    
54                    attend                30                    8204                  1269                  246                   173                   Q1                    
55                    attract               N/A                   5983                  1660                  307                   214                   Q1                    
56                    avoid                 106;52                11083                 923                   187                   137                   Q1                    
57                    awake                 45;48                 802                   7493                  1167                  562                   Q1                    
58                    award                 13                    2557                  3306                  580                   355                   Q1                    
59                    bake                  26;45                 621                   8894                  1337                  601                   Q1                    
60                    ban                   67                    2366                  3486                  607                   367                   Q1                    
61                    bargain               89;36;70              471                   10592                 1551                  648                   Q1                    
62                    barter                13                    85                    30071                 3391                  799                   Q2                    
63                    be                    109                   3405128               2                     1                     1                     Q1                    
64                    bear                  31                    14103                 725                   150                   114                   Q1                    
65                    beat                  18;26;22;40;43        7073                  1443                  273                   188                   Q1                    
66                    become                109                   64706                 118                   27                    19                    Q1                    
67                    beg                   58                    1552                  4705                  776                   431                   Q1                    
68                    begin                 55                    42131                 200                   43                    32                    Q1                    
69                    believe               31;29                 31511                 273                   58                    43                    Q1                    
70                    belong                N/A                   4882                  2004                  370                   250                   Q1                    
71                    bend                  47;26;45;50           3054                  2918                  523                   328                   Q1                    
72                    bet                   54;94;70              1106                  5977                  953                   496                   Q1                    
73                    betray                N/A                   1261                  5446                  873                   471                   Q1                    
74                    beware                31                    536                   9781                  1440                  628                   Q1                    
75                    bias                  96                    136                   23022                 2879                  780                   Q2                    
76                    bite                  18;40                 2378                  3472                  606                   366                   Q1                    
77                    blame                 33                    3766                  2487                  451                   288                   Q1                    
78                    bleach                45                    126                   24112                 2965                  785                   Q2                    
79                    blend                 26;22                 640                   8729                  1312                  594                   Q1                    
80                    bless                 33                    949                   6689                  1047                  521                   Q1                    
81                    block                 9;67;16               2150                  3733                  646                   381                   Q1                    
82                    blow                  26;57;40;23           4157                  2298                  416                   269                   Q1                    
83                    bluff                 59                    111                   26021                 3104                  790                   Q2                    
84                    blur                  45                    464                   10672                 1566                  649                   Q1                    
85                    blush                 40                    570                   9396                  1392                  612                   Q1                    
86                    boil                  26;45                 750                   7844                  1215                  573                   Q1                    
87                    boom                  38;37;43              405                   11575                 1689                  665                   Q1                    
88                    boost                 102                   1481                  4860                  798                   446                   Q1                    
89                    borrow                13                    2477                  3377                  591                   359                   Q1                    
90                    bother                31;40                 2755                  3141                  550                   341                   Q1                    
91                    bounce                11;51                 852                   7194                  1128                  552                   Q1                    
92                    bound                 47;51                 389                   11906                 1730                  670                   Q1                    
93                    bow                   47;95;50;40           1207                  5621                  904                   481                   Q1                    
94                    break                 10;45;40;48;23        16838                 600                   125                   97                    Q1                    
95                    breathe               40                    2827                  3078                  542                   338                   Q1                    
96                    breed                 N/A                   1336                  5218                  844                   459                   Q1                    
97                    bring                 11                    39413                 214                   49                    35                    Q1                    
98                    broil                 26;45                 N/A                   N/A                   N/A                   827                   N/A                   
99                    brush                 9;18;10;41            1762                  4295                  729                   418                   Q1                    
100                   build                 26;97                 20059                 495                   106                   83                    Q1                    
101                   bumble                N/A                   18                    68612                 5064                  819                   Q3                    
102                   bump                  18;40                 689                   8320                  1272                  589                   Q1                    
103                   burn                  47;45;43;40           3935                  2404                  433                   276                   Q1                    
104                   burst                 45;48                 2302                  3556                  619                   372                   Q1                    
105                   bury                  9                     2785                  3115                  546                   339                   Q1                    
106                   buy                   13                    19565                 509                   109                   86                    Q1                    
107                   buzz                  47;38;43              362                   12501                 1806                  680                   Q2                    
108                   calculate             N/A                   3530                  2621                  474                   299                   Q1                    
109                   call                  60;13;38;37;29        42874                 195                   41                    30                    Q1                    
110                   capitulate            95                    124                   24308                 2985                  786                   Q2                    
111                   capture               10                    2670                  3210                  557                   344                   Q1                    
112                   care                  88;31                 6578                  1535                  288                   200                   Q1                    
113                   carry                 11;54                 28728                 310                   67                    52                    Q1                    
114                   cast                  26;29;17              3613                  2566                  465                   294                   Q1                    
115                   catch                 13                    13268                 771                   156                   119                   Q1                    
116                   celebrate             33                    3227                  2809                  506                   317                   Q1                    
117                   certify               101;29                325                   13454                 1908                  691                   Q2                    
118                   change                13;45;26;41           21788                 441                   96                    73                    Q1                    
119                   charge                54;13;92;51           5982                  1662                  308                   215                   Q1                    
120                   chase                 51                    1539                  4729                  782                   436                   Q1                    
121                   cheat                 10;59                 522                   9940                  1462                  633                   Q1                    
122                   chew                  39                    706                   8182                  1257                  584                   Q1                    
123                   chirp                 38;37                 35                    48885                 4351                  812                   Q3                    
124                   choke                 9;42;40               763                   7759                  1207                  572                   Q1                    
125                   choose                13                    15557                 653                   137                   106                   Q1                    
126                   chop                  18;21                 809                   7450                  1161                  561                   Q1                    
127                   chuck                 17                    336                   13171                 1883                  688                   Q2                    
128                   claim                 37;29                 16500                 613                   126                   98                    Q1                    
129                   clarify               45                    1182                  5724                  918                   486                   Q1                    
130                   clench                40                    524                   9917                  1454                  630                   Q1                    
131                   climb                 47;45;51              4561                  2121                  391                   257                   Q1                    
132                   collaborate           73;36;71              540                   9739                  1436                  627                   Q1                    
133                   collect               47;26;45;13;22        6412                  1570                  295                   203                   Q1                    
134                   color                 24                    N/A                   N/A                   N/A                   827                   N/A                   
135                   combine               22                    5388                  1833                  337                   232                   Q1                    
136                   come                  109;51;48             115348                72                    16                    11                    Q1                    
137                   comfort               31                    837                   7284                  1141                  557                   Q1                    
138                   command               60                    1508                  4801                  792                   441                   Q1                    
139                   commit                92;79                 6040                  1649                  305                   212                   Q1                    
140                   communicate           37;36                 2410                  3434                  599                   362                   Q1                    
141                   compete               36                    3064                  2911                  522                   327                   Q1                    
142                   complain              37                    3621                  2562                  463                   293                   Q1                    
143                   compose               26                    1930                  4036                  694                   402                   Q1                    
144                   compound              22                    718                   8079                  1243                  580                   Q1                    
145                   comprehend            87                    457                   10788                 1586                  653                   Q1                    
146                   compute               26                    646                   8677                  1307                  592                   Q1                    
147                   concentrate           87                    6619                  1529                  287                   199                   Q1                    
148                   concern               31;86                 3769                  2483                  450                   287                   Q1                    
149                   concur                89;36                 196                   18433                 2456                  751                   Q2                    
150                   condemn               33;81                 2122                  3772                  656                   386                   Q1                    
151                   confess               37                    1451                  4946                  807                   449                   Q1                    
152                   confuse               31;22                 2224                  3651                  633                   376                   Q1                    
153                   connect               22                    4180                  2288                  414                   267                   Q1                    
154                   conquer               42                    568                   9418                  1396                  613                   Q1                    
155                   console               31                    299                   14196                 1993                  706                   Q2                    
156                   conspire              71                    318                   13652                 1934                  696                   Q2                    
157                   construct             26;45                 3623                  2559                  462                   292                   Q1                    
158                   control               63                    9399                  1105                  222                   160                   Q1                    
159                   convince              31;59                 3458                  2675                  483                   302                   Q1                    
160                   cook                  26;45                 2058                  3862                  670                   391                   Q1                    
161                   cooperate             73;36                 415                   11401                 1669                  664                   Q1                    
162                   cope                  83                    3479                  2661                  482                   301                   Q1                    
163                   correct               45                    1864                  4139                  705                   407                   Q1                    
164                   corrupt               45                    205                   17966                 2403                  749                   Q2                    
165                   cough                 40                    618                   8926                  1341                  603                   Q1                    
166                   count                 91;108;70;29;34       3600                  2571                  467                   296                   Q1                    
167                   cover                 9;47                  16438                 615                   127                   99                    Q1                    
168                   crack                 18;45;43              1268                  5420                  868                   469                   Q1                    
169                   crackle               43                    148                   21968                 2775                  774                   Q2                    
170                   crash                 18;45;43              1906                  4070                  695                   403                   Q1                    
171                   crave                 32                    260                   15495                 2149                  727                   Q2                    
172                   crawl                 47;51                 970                   6581                  1036                  519                   Q1                    
173                   create                26;27                 20369                 482                   104                   81                    Q1                    
174                   criticize             33                    1546                  4716                  779                   435                   Q1                    
175                   croak                 38;37                 179                   19532                 2551                  759                   Q2                    
176                   crochet               26                    N/A                   N/A                   N/A                   827                   N/A                   
177                   cruise                51                    462                   10699                 1573                  651                   Q1                    
178                   crunch                18;39;21;43           190                   18797                 2483                  754                   Q2                    
179                   crush                 31;45;42;21           1110                  5959                  950                   495                   Q1                    
180                   cry                   31;37;43;40           5662                  1737                  320                   221                   Q1                    
181                   cuddle                36                    231                   16692                 2275                  735                   Q2                    
182                   damn                  33                    852                   7193                  1127                  551                   Q1                    
183                   dance                 47;26;51              2147                  3739                  648                   382                   Q1                    
184                   dare                  59                    3108                  2885                  518                   325                   Q1                    
185                   dash                  18;51                 837                   7287                  1139                  556                   Q1                    
186                   deal                  83;13                 13266                 772                   157                   120                   Q1                    
187                   debate                37;36                 1160                  5781                  929                   488                   Q1                    
188                   decay                 45                    319                   13619                 1931                  695                   Q2                    
189                   deceive               59                    630                   8822                  1328                  598                   Q1                    
190                   decide                36                    22482                 423                   91                    68                    Q1                    
191                   decline               45                    2998                  2954                  529                   331                   Q1                    
192                   decompose             45                    130                   23657                 2927                  784                   Q2                    
193                   decorate              9;25                  1399                  5070                  827                   454                   Q1                    
194                   decrease              45                    1170                  5763                  927                   487                   Q1                    
195                   dedicate              79                    1269                  5417                  867                   468                   Q1                    
196                   defeat                N/A                   2230                  3642                  632                   375                   Q1                    
197                   defend                85                    3760                  2489                  452                   289                   Q1                    
198                   define                29;48                 8437                  1239                  241                   168                   Q1                    
199                   defrost               10;45                 38                    46861                 4254                  811                   Q3                    
200                   degrade               45                    264                   15346                 2124                  724                   Q2                    
201                   delay                 53                    2153                  3728                  643                   379                   Q1                    
202                   deliver               11                    5543                  1779                  329                   228                   Q1                    
203                   demand                60;103                5533                  1782                  330                   229                   Q1                    
204                   demolish              31;44                 868                   7104                  1111                  546                   Q1                    
205                   deny                  29                    6846                  1481                  281                   195                   Q1                    
206                   depart                10;51                 1117                  5928                  945                   493                   Q1                    
207                   depend                70                    9113                  1145                  228                   162                   Q1                    
208                   deposit               9                     1038                  6267                  995                   506                   Q1                    
209                   descend               47;51                 1702                  4416                  744                   424                   Q1                    
210                   describe              29                    22756                 412                   89                    66                    Q1                    
211                   design                26                    11083                 924                   186                   138                   Q1                    
212                   desire                32                    891                   6993                  1097                  539                   Q1                    
213                   despair               31                    263                   15398                 2130                  725                   Q2                    
214                   despise               31                    599                   9121                  1362                  606                   Q1                    
215                   destroy               44                    5614                  1755                  325                   225                   Q1                    
216                   detach                23                    620                   8907                  1338                  602                   Q1                    
217                   deteriorate           45                    744                   7897                  1223                  574                   Q1                    
218                   determine             29;84                 9992                  1037                  210                   152                   Q1                    
219                   develop               26;48                 22050                 436                   94                    71                    Q1                    
220                   devote                79                    1753                  4311                  731                   419                   Q1                    
221                   die                   48                    20298                 485                   105                   82                    Q1                    
222                   differ                36;23                 2503                  3350                  588                   358                   Q1                    
223                   dig                   19;26;35              2312                  3543                  615                   370                   Q1                    
224                   diminish              45                    1269                  5418                  865                   467                   Q1                    
225                   dip                   9;47;45               999                   6445                  1022                  512                   Q1                    
226                   direct                26                    5034                  1951                  361                   243                   Q1                    
227                   disagree              36                    1126                  5898                  941                   491                   Q1                    
228                   disallow              N/A                   135                   23192                 2881                  781                   Q2                    
229                   disappear             48                    5210                  1896                  348                   238                   Q1                    
230                   disappoint            31                    1982                  3957                  683                   398                   Q1                    
231                   disbelieve            31                    108                   26319                 3130                  792                   Q2                    
232                   discharge             10;80                 1255                  5462                  876                   473                   Q1                    
233                   discourage            77;31;67              992                   6473                  1026                  514                   Q1                    
234                   discover              30;29;84              9880                  1044                  211                   153                   Q1                    
235                   discuss               N/A                   13795                 735                   151                   115                   Q1                    
236                   disguise              9                     879                   7047                  1106                  543                   Q1                    
237                   disgust               31                    289                   14491                 2029                  710                   Q2                    
238                   disintegrate          45                    293                   14359                 2016                  708                   Q2                    
239                   dislike               31                    1077                  6098                  970                   499                   Q1                    
240                   dismay                31                    268                   15209                 2110                  721                   Q2                    
241                   dismiss               10                    3931                  2406                  435                   277                   Q1                    
242                   disown                N/A                   115                   25342                 3062                  789                   Q2                    
243                   disperse              45                    777                   7664                  1191                  568                   Q1                    
244                   dispose               96                    1273                  5399                  864                   465                   Q1                    
245                   disprove              97                    180                   19469                 2543                  758                   Q2                    
246                   disregard             N/A                   507                   10139                 1485                  639                   Q1                    
247                   dissolve              45                    1303                  5322                  856                   463                   Q1                    
248                   disturb               31                    2184                  3700                  637                   378                   Q1                    
249                   dive                  47;35                 989                   6489                  1027                  515                   Q1                    
250                   divide                108;45;23             5283                  1870                  343                   235                   Q1                    
251                   do                    N/A                   385748                26                    3                     3                     Q1                    
252                   dominate              47                    3964                  2393                  431                   275                   Q1                    
253                   doubt                 33;29                 1855                  4153                  709                   409                   Q1                    
254                   doze                  40                    238                   16356                 2239                  734                   Q2                    
255                   drag                  11;35                 2924                  3009                  531                   333                   Q1                    
256                   drain                 10;45                 1341                  5204                  840                   458                   Q1                    
257                   draw                  11;10;26;59;23;25     18979                 525                   110                   87                    Q1                    
258                   drench                9                     174                   19889                 2578                  761                   Q2                    
259                   drift                 47;51                 1812                  4227                  718                   412                   Q1                    
260                   drink                 39                    5270                  1875                  344                   236                   Q1                    
261                   drip                  9;43                  324                   13494                 1913                  693                   Q2                    
262                   drive                 11;51                 11767                 878                   177                   133                   Q1                    
263                   drown                 42;40                 1262                  5444                  872                   470                   Q1                    
264                   duck                  52                    626                   8854                  1330                  599                   Q1                    
265                   dump                  9                     1208                  5618                  902                   480                   Q1                    
266                   dunk                  9                     22                    61940                 4860                  816                   Q3                    
267                   duplicate             25                    282                   14717                 2058                  714                   Q2                    
268                   earn                  13                    4167                  2296                  415                   268                   Q1                    
269                   educate               37                    1643                  4532                  755                   426                   Q1                    
270                   elect                 29                    3729                  2506                  456                   290                   Q1                    
271                   embarrass             31                    500                   10225                 1503                  641                   Q1                    
272                   embrace               36                    1502                  4809                  793                   442                   Q1                    
273                   encourage             77;59;31;37;102       9451                  1096                  221                   159                   Q1                    
274                   enforce               63                    1795                  4255                  721                   414                   Q1                    
275                   engage                31;13;22;107          3792                  2470                  445                   285                   Q1                    
276                   enjoy                 32;31                 13259                 773                   158                   121                   Q1                    
277                   enrage                31                    161                   20868                 2660                  766                   Q2                    
278                   ensure                99                    13470                 755                   155                   118                   Q1                    
279                   enter                 51                    13516                 754                   154                   117                   Q1                    
280                   entertain             31                    1447                  4962                  809                   450                   Q1                    
281                   erode                 45                    579                   9324                  1382                  609                   Q1                    
282                   erupt                 48                    676                   8424                  1283                  590                   Q1                    
283                   escape                51                    4910                  1991                  365                   247                   Q1                    
284                   evacuate              10                    511                   10094                 1476                  635                   Q1                    
285                   evaluate              34                    2055                  3866                  672                   393                   Q1                    
286                   evict                 10                    250                   15876                 2185                  730                   Q2                    
287                   examine               30;35                 8504                  1226                  239                   167                   Q1                    
288                   exceed                90                    2551                  3313                  581                   356                   Q1                    
289                   excel                 74                    279                   14825                 2073                  717                   Q2                    
290                   exchange              13                    1518                  4778                  787                   439                   Q1                    
291                   excuse                33                    1112                  5947                  948                   494                   Q1                    
292                   exhale                40                    99                    27598                 3230                  798                   Q2                    
293                   exist                 47;39                 10826                 942                   191                   141                   Q1                    
294                   explain               37;78                 18016                 553                   116                   91                    Q1                    
295                   explode               45;43                 1408                  5049                  825                   452                   Q1                    
296                   exploit               105                   2328                  3530                  612                   369                   Q1                    
297                   express               11;48                 10891                 937                   189                   139                   Q1                    
298                   face                  9;98                  14407                 708                   147                   111                   Q1                    
299                   fade                  45                    1632                  4551                  758                   427                   Q1                    
300                   fail                  75;74                 15400                 663                   138                   107                   Q1                    
301                   fall                  32;26;109;51;45       13197                 777                   160                   123                   Q1                    
302                   fasten                22                    638                   8749                  1317                  595                   Q1                    
303                   feed                  54;39                 3023                  2936                  526                   330                   Q1                    
304                   feel                  31;30;29;35;109       28375                 312                   68                    53                    Q1                    
305                   fight                 36                    9321                  1116                  224                   161                   Q1                    
306                   fill                  9;47;45               9751                  1059                  215                   156                   Q1                    
307                   find                  13;29;84              89906                 91                    22                    15                    Q1                    
308                   finish                55                    8905                  1166                  233                   163                   Q1                    
309                   fit                   9;54;26               7698                  1354                  261                   182                   Q1                    
310                   fix                   54;26;22              4479                  2153                  396                   259                   Q1                    
311                   flap                  47;40;49              369                   12351                 1787                  675                   Q1                    
312                   flash                 43;40                 1197                  5661                  912                   484                   Q1                    
313                   flee                  51                    2073                  3833                  665                   390                   Q1                    
314                   flex                  26;45;40              323                   13533                 1917                  694                   Q2                    
315                   fling                 17                    1322                  5264                  851                   462                   Q1                    
316                   flip                  17                    366                   12410                 1794                  678                   Q1                    
317                   float                 11;47;51              1623                  4573                  760                   429                   Q1                    
318                   flow                  47;48                 2055                  3867                  673                   394                   Q1                    
319                   flush                 10;40                 940                   6742                  1058                  528                   Q1                    
320                   flutter               47;40                 442                   11025                 1624                  658                   Q1                    
321                   fly                   11;47;51              8118                  1283                  250                   177                   Q1                    
322                   foil                  N/A                   163                   20733                 2645                  765                   Q2                    
323                   fold                  26;45;40              1473                  4882                  801                   447                   Q1                    
324                   follow                47;51;87;48           44254                 187                   39                    28                    Q1                    
325                   forbear               69                    43                    44011                 4150                  807                   Q3                    
326                   forbid                67                    1245                  5492                  882                   475                   Q1                    
327                   forget                N/A                   10061                 1024                  206                   148                   Q1                    
328                   forgive               33                    1769                  4286                  727                   416                   Q1                    
329                   frame                 9;47                  856                   7166                  1121                  550                   Q1                    
330                   free                  80                    2593                  3278                  571                   350                   Q1                    
331                   freeze                57;45                 1763                  4292                  728                   417                   Q1                    
332                   frighten              31;59                 2004                  3930                  679                   396                   Q1                    
333                   frustrate             31                    765                   7743                  1201                  571                   Q1                    
334                   fry                   26;45                 377                   12175                 1760                  672                   Q1                    
335                   gain                  13;45                 7595                  1367                  262                   183                   Q1                    
336                   gamble                94;70                 315                   13735                 1943                  699                   Q2                    
337                   gather                47;13;22;97           4199                  2280                  413                   266                   Q1                    
338                   get                   26;109;13             125158                66                    14                    9                     Q1                    
339                   giggle                40                    640                   8728                  1313                  593                   Q1                    
340                   give                  13                    112170                74                    17                    12                    Q1                    
341                   glance                30                    3995                  2376                  426                   274                   Q1                    
342                   glare                 30;43;40              1048                  6227                  990                   505                   Q1                    
343                   glide                 51                    300                   14149                 1987                  705                   Q2                    
344                   glow                  43                    731                   7989                  1236                  578                   Q1                    
345                   go                    47;109;51             163608                48                    10                    6                     Q1                    
346                   grab                  10;13;15              2467                  3385                  592                   360                   Q1                    
347                   graduate              N/A                   598                   9137                  1364                  607                   Q1                    
348                   grant                 13;29                 6042                  1648                  304                   211                   Q1                    
349                   grasp                 20;15;87              1374                  5120                  832                   456                   Q1                    
350                   grate                 31;21                 316                   13696                 1938                  698                   Q2                    
351                   graze                 39;20;40              557                   9543                  1408                  615                   Q1                    
352                   greet                 33                    2095                  3806                  660                   387                   Q1                    
353                   grill                 26;45                 165                   20569                 2638                  764                   Q2                    
354                   grind                 26;21;40              1059                  6177                  980                   503                   Q1                    
355                   grow                  26;109;45;48          16270                 625                   130                   101                   Q1                    
356                   guess                 29;84;34              3288                  2779                  500                   314                   Q1                    
357                   gulp                  39                    344                   12950                 1849                  685                   Q2                    
358                   hamper                67                    472                   10577                 1549                  646                   Q1                    
359                   handle                98;15                 5011                  1961                  363                   245                   Q1                    
360                   hang                  9;47;42;50;40         6409                  1571                  296                   204                   Q1                    
361                   happen                48                    25727                 361                   78                    59                    Q1                    
362                   hatch                 26                    391                   11867                 1728                  669                   Q1                    
363                   hate                  31                    1809                  4232                  719                   413                   Q1                    
364                   haul                  11                    985                   6513                  1031                  517                   Q1                    
365                   haunt                 31                    795                   7545                  1175                  564                   Q1                    
366                   have                  39;100                1085427               8                     2                     2                     Q1                    
367                   heal                  45                    883                   7026                  1103                  541                   Q1                    
368                   hear                  30;84                 30689                 281                   60                    45                    Q1                    
369                   help                  72                    34333                 248                   53                    38                    Q1                    
370                   hesitate              53                    2093                  3808                  661                   388                   Q1                    
371                   hide                  16                    5167                  1910                  354                   241                   Q1                    
372                   hike                  51                    65                    35004                 3712                  802                   Q3                    
373                   hit                   18;51;17;40;47        8807                  1179                  235                   165                   Q1                    
374                   hitch                 22                    220                   17175                 2328                  739                   Q2                    
375                   hold                  54;92;15;29           43738                 190                   40                    29                    Q1                    
376                   holler                37                    23                    60521                 4800                  815                   Q3                    
377                   hoot                  38;37;43              110                   26043                 3117                  791                   Q2                    
378                   hop                   47;51                 10036                 1029                  209                   151                   Q1                    
379                   hope                  32;62                 8392                  1248                  242                   169                   Q1                    
380                   hug                   47;36                 788                   7591                  1180                  565                   Q1                    
381                   hum                   47;26;37;43;40        354                   12689                 1823                  683                   Q2                    
382                   humiliate             31                    344                   12956                 1854                  687                   Q2                    
383                   hunt                  35                    1259                  5452                  875                   472                   Q1                    
384                   hurry                 51;53                 2139                  3754                  654                   384                   Q1                    
385                   hurt                  31;40                 4152                  2303                  418                   271                   Q1                    
386                   hustle                59                    139                   22788                 2851                  779                   Q2                    
387                   hypnotize             31                    48                    41208                 4026                  805                   Q3                    
388                   ignore                N/A                   6628                  1527                  286                   198                   Q1                    
389                   imagine               62;29                 7203                  1427                  269                   185                   Q1                    
390                   imitate               101                   510                   10100                 1482                  638                   Q1                    
391                   impersonate           101                   60                    36557                 3805                  804                   Q3                    
392                   implode               N/A                   9                     96632                 6016                  820                   Q4                    
393                   impose                63                    5847                  1690                  314                   218                   Q1                    
394                   incline               96                    449                   10911                 1611                  657                   Q1                    
395                   include               65;107                33473                 260                   54                    39                    Q1                    
396                   increase              45                    19861                 501                   108                   85                    Q1                    
397                   inform                37                    4760                  2042                  380                   253                   Q1                    
398                   inhale                40                    280                   14790                 2069                  716                   Q2                    
399                   inquire               37                    487                   10378                 1524                  644                   Q1                    
400                   inspect               30;35                 1300                  5330                  857                   464                   Q1                    
401                   instruct              37                    1645                  4531                  754                   425                   Q1                    
402                   insult                33;31                 462                   10710                 1574                  652                   Q1                    
403                   insure                99;85                 742                   7910                  1228                  577                   Q1                    
404                   integrate             22                    1864                  4140                  706                   408                   Q1                    
405                   intend                61;62                 10207                 1011                  204                   147                   Q1                    
406                   interrupt             N/A                   1978                  3964                  684                   399                   Q1                    
407                   intoxicate            31                    103                   27077                 3182                  794                   Q2                    
408                   introduce             55;22                 13236                 775                   159                   122                   Q1                    
409                   invalidate            106                   192                   18720                 2474                  753                   Q2                    
410                   invent                26                    1630                  4557                  759                   428                   Q1                    
411                   invite                60;102                5430                  1817                  334                   231                   Q1                    
412                   involve               103;86;107            27114                 333                   72                    55                    Q1                    
413                   irritate              31                    566                   9429                  1397                  614                   Q1                    
414                   jerk                  12                    903                   6940                  1088                  536                   Q1                    
415                   jog                   51                    325                   13460                 1909                  692                   Q2                    
416                   join                  73;22                 15910                 640                   133                   102                   Q1                    
417                   judge                 29;34                 3837                  2446                  443                   283                   Q1                    
418                   jump                  45;51                 4125                  2314                  419                   272                   Q1                    
419                   justify               37                    3318                  2755                  496                   311                   Q1                    
420                   keep                  55;109;15             42862                 196                   42                    31                    Q1                    
421                   kick                  11;17;23;18;49;40     2848                  3065                  538                   337                   Q1                    
422                   kidnap                10                    471                   10587                 1554                  647                   Q1                    
423                   kill                  42                    14265                 716                   148                   112                   Q1                    
424                   kiss                  20;36                 3298                  2773                  498                   313                   Q1                    
425                   kneel                 47;50;40              947                   6696                  1048                  522                   Q1                    
426                   knit                  26;40                 1721                  4377                  739                   423                   Q1                    
427                   knock                 18;43;17;23           3411                  2702                  488                   305                   Q1                    
428                   know                  29                    122978                69                    15                    10                    Q1                    
429                   laugh                 40                    8368                  1251                  243                   170                   Q1                    
430                   launch                55;17                 6066                  1639                  303                   210                   Q1                    
431                   lay                   9;26                  15712                 648                   135                   104                   Q1                    
432                   lead                  59;51                 29546                 300                   64                    49                    Q1                    
433                   lean                  9;47;50               4780                  2033                  379                   252                   Q1                    
434                   leap                  51                    1885                  4099                  696                   404                   Q1                    
435                   learn                 14;84                 17777                 559                   117                   92                    Q1                    
436                   leave                 15;13;109;51;10       54436                 143                   29                    21                    Q1                    
437                   lend                  13                    2445                  3403                  596                   361                   Q1                    
438                   let                   N/A                   24316                 379                   83                    63                    Q1                    
439                   lick                  10;39;20              767                   7732                  1197                  570                   Q1                    
440                   lie                   47;50                 12317                 844                   169                   129                   Q1                    
441                   lift                  9;10                  6343                  1582                  297                   205                   Q1                    
442                   like                  32;31                 29115                 305                   65                    50                    Q1                    
443                   limit                 76                    5626                  1752                  323                   223                   Q1                    
444                   limp                  51                    357                   12617                 1814                  682                   Q2                    
445                   listen                30;35                 9614                  1074                  217                   158                   Q1                    
446                   litter                9;28                  372                   12294                 1776                  674                   Q1                    
