word1	word2	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
cheat	lie	2	5	2	4	2	6	5	1	0	4
grant	aid	2	4	2	3	5	6	5	1	2	4
wait	disprove	1	0	0	0	0	3	0	0	0	0
mistreat	abuse	5	6	4	4	6	6	6	6	5	6
leave	detach	1	1	1	2	0	5	0	3	4	1
snuggle	cuddle	3	6	5	1	6	6	6	6	6	6
smother	kiss	1	4	2	1	1	4	0	2	1	0
strive	excel	2	6	4	2	5	6	1	0	1	4
achieve	excel	2	4	4	4	5	6	4	5	6	6
die	crash	2	1	3	3	0	3	0	0	2	3
reach	grasp	2	1	4	0	4	4	1	0	5	4
become	succeed	2	5	0	4	5	3	0	0	2	3
excel	loosen	1	0	6	0	0	2	0	0	0	0
make	compose	2	6	4	5	5	3	5	4	5	5
shut	find	1	0	0	0	0	4	0	0	0	0
avoid	deny	1	2	2	1	3	3	3	0	0	2
commit	devote	1	5	4	3	6	5	6	4	5	5
frustrate	annoy	3	6	4	3	6	6	6	5	5	6
watch	see	5	5	4	4	6	6	3	4	6	6
avoid	hide	2	6	2	5	3	2	5	2	5	3
separate	split	5	6	5	5	5	5	6	6	6	6
scramble	run	2	4	3	1	0	4	4	1	5	4
touch	rub	2	4	4	3	5	5	4	1	1	5
prohibit	forbid	5	6	6	5	6	6	6	5	6	6
spill	pour	3	2	4	5	3	3	3	1	0	4
join	add	3	4	4	5	3	4	5	5	3	5
pause	break	4	6	1	3	4	3	5	6	4	4
invite	travel	1	0	0	0	0	4	0	0	0	1
mean	join	1	0	0	0	0	5	0	0	0	0
update	review	1	3	5	2	0	2	2	2	4	5
lose	obtain	1	0	0	0	0	1	0	0	0	0
attempt	try	6	6	3	4	6	3	6	6	6	6
spawn	pup	1	0	1	2	0	4	0	4	0	6
accomplish	succeed	5	6	1	5	6	3	6	6	6	6
sit	dance	1	0	1	0	0	2	0	0	0	0
impose	cheat	2	0	0	1	0	4	0	0	0	0
sing	perform	2	4	5	1	4	3	4	4	1	2
raise	rise	5	3	6	5	1	6	4	5	4	5
hit	beat	3	5	6	5	4	5	5	4	6	5
fly	cuddle	0	0	0	0	1	0	0	1	0	0
teach	show	1	5	3	4	4	2	5	4	5	2
laugh	ridicule	3	3	4	5	1	2	4	3	3	0
urge	recommend	4	4	0	3	2	3	4	5	5	3
perceive	see	5	5	5	4	5	4	5	5	5	5
hunt	shoot	5	3	4	5	5	4	5	4	5	3
travel	fly	2	3	3	3	5	5	4	4	3	1
push	pull	0	0	0	0	3	1	0	1	0	0
bother	nag	3	5	6	5	5	6	3	5	6	4
refuse	decline	6	6	6	5	5	6	5	5	5	6
chew	grind	4	4	6	4	3	5	4	4	1	3
move	turn	4	3	4	3	3	3	3	3	2	1
weave	make	4	3	5	3	4	3	3	4	1	0
say	reply	5	4	3	5	5	5	4	3	2	3
tend	leave	0	1	0	0	1	1	0	1	0	0
transplant	exchange	1	5	1	5	5	4	6	3	1	5
fade	perish	2	5	5	4	5	1	4	4	4	5
swing	push	4	4	2	3	1	4	2	3	0	1
lie	lay	6	5	6	5	1	0	6	1	5	3
whisper	scream	0	0	0	0	1	0	0	1	0	0
recommend	advise	6	5	4	5	5	6	5	5	5	6
run	sweat	0	3	6	0	4	1	1	4	1	0
grab	pick	5	4	6	5	4	3	5	3	2	4
assume	think	5	4	4	1	4	2	4	2	0	5
drive	veer	4	4	3	1	1	3	2	3	0	0
run	roam	3	3	1	4	3	2	4	1	3	1
hold	embrace	5	5	6	5	5	5	5	5	5	4
tear	split	6	4	6	4	5	5	5	5	6	5
shoot	hurt	2	2	4	3	5	3	4	4	4	1
decorate	fix	2	3	0	1	5	0	4	2	1	1
disprove	dislike	5	2	6	5	5	6	4	5	6	6
rearrange	organize	3	5	5	5	5	6	5	5	5	5
aggravate	frustrate	5	5	6	5	5	5	4	5	1	4
tend	give	3	3	2	1	3	1	0	3	0	3
go	pause	0	0	0	2	1	0	0	1	0	0
live	let	2	3	2	1	1	1	0	2	0	0
whip	cook	0	4	5	0	1	0	0	3	0	0
smell	sweat	0	4	4	3	3	1	2	3	3	3
kill	smash	3	4	5	4	4	2	3	3	4	1
rub	feel	1	5	6	0	5	5	3	3	3	3
remember	realize	3	4	5	2	5	4	4	4	1	2
reduce	subtract	6	5	6	5	5	6	5	5	5	5
obtain	have	4	5	5	5	5	3	4	5	6	5
promise	swear	6	5	6	5	5	5	6	3	6	3
crash	smash	2	5	6	4	5	6	4	3	5	1
glide	please	0	3	0	0	1	1	0	4	0	0
doze	snore	4	4	6	0	4	3	2	5	3	1
remark	say	4	6	6	3	3	4	5	6	5	6
scare	laugh	0	0	0	0	1	0	2	0	0	1
win	accomplish	3	5	4	2	1	5	5	1	4	5
express	say	3	4	5	3	3	4	5	4	2	5
steal	return	0	0	0	0	1	0	0	0	0	0
repair	replace	1	2	0	0	3	1	3	0	2	4
split	detach	5	6	4	0	4	0	2	4	2	5
grab	clench	6	6	2	2	6	3	5	2	3	4
help	refuse	0	0	0	0	1	0	2	0	0	0
attack	disgust	0	0	0	0	0	0	2	0	0	1
convince	lie	0	1	1	0	2	0	2	0	1	2
like	adore	4	2	4	3	6	5	1	2	1	3
stop	refrain	4	4	6	2	5	3	5	6	4	0
search	lose	0	0	1	0	1	0	2	3	0	0
steer	veer	2	2	1	0	3	1	4	3	3	2
annoy	mimic	0	1	0	0	0	1	2	0	1	3
lose	subtract	1	4	0	0	1	0	5	1	2	2
wake	awake	4	4	6	0	1	6	4	2	4	3
hate	respect	0	0	0	0	0	0	1	0	0	0
allow	disprove	0	0	0	0	0	0	1	0	0	0
haul	stab	0	0	0	0	0	0	1	1	0	0
delay	hurry	0	0	0	0	0	0	1	1	0	0
talk	reply	4	5	3	0	2	3	5	4	3	3
hitch	tie	5	2	0	0	1	1	2	2	3	2
discourage	overflow	0	0	0	0	0	0	2	0	0	0
shoot	yell	0	0	0	0	0	0	6	5	0	0
tell	suggest	1	2	3	0	0	3	4	4	2	3
allow	go	0	1	0	0	4	0	5	4	0	2
sip	gulp	3	6	3	0	0	0	2	1	1	2
fix	mend	6	6	6	4	6	6	5	6	5	6
yell	hoot	3	0	4	0	0	5	4	1	2	2
recruit	join	1	0	1	0	6	0	4	6	4	2
admire	want	2	2	3	0	0	3	5	5	5	4
operate	do	2	4	3	0	5	4	4	5	4	4
jump	run	1	0	0	0	0	0	3	0	0	1
hang	fall	1	0	0	0	0	0	1	0	1	0
duplicate	repeat	4	6	4	4	4	6	5	5	3	2
start	begin	6	6	6	1	6	6	5	6	6	5
stain	smudge	4	4	0	0	4	3	3	5	3	3
lose	stray	1	0	0	0	4	0	3	5	2	2
demand	need	1	4	1	0	3	1	3	2	0	2
respond	remark	2	5	4	0	0	5	4	5	3	3
erupt	blow	4	3	5	2	0	4	5	3	6	2
delay	stop	2	6	1	0	5	1	4	3	1	2
bake	understand	0	0	0	0	3	0	1	0	0	0
change	spare	0	0	0	0	3	0	4	3	0	1
become	grow	5	3	5	2	1	2	4	4	3	2
smell	spoil	0	0	0	0	0	0	2	0	1	0
participate	join	1	6	6	2	0	4	5	6	1	3
affect	respond	0	1	0	0	0	0	4	5	0	0
cook	fry	4	1	5	3	6	4	3	3	6	5
speak	deny	4	0	0	0	0	1	1	1	3	0
destroy	crush	5	3	6	3	3	5	3	4	6	4
play	show	1	0	5	0	0	0	0	2	3	3
examine	inspect	5	3	6	5	5	6	6	6	6	6
fade	disappear	4	5	6	4	6	5	5	5	6	4
calculate	determine	1	3	5	4	5	3	4	4	6	4
float	drift	4	4	6	4	3	4	5	5	4	5
rip	destroy	5	4	6	4	2	3	5	5	5	5
go	enter	4	0	5	2	0	3	5	5	6	5
prove	convince	4	0	6	5	0	4	5	6	3	0
lower	reduce	5	4	6	4	6	6	6	6	6	6
plow	hit	0	0	4	0	0	3	3	5	6	1
erode	doubt	0	0	1	0	0	0	0	4	0	0
call	listen	3	0	1	0	0	0	2	3	0	3
sip	taste	5	2	4	3	0	3	1	5	3	1
charge	go	4	2	4	3	0	0	2	5	0	0
update	tear	0	0	1	0	0	0	0	1	0	1
waste	want	0	0	1	0	0	0	0	0	0	1
despair	upset	0	3	2	2	0	0	3	4	6	2
care	mind	4	4	2	0	3	3	5	5	0	3
delay	start	1	0	1	0	0	0	0	0	0	0
deliver	stand	0	0	0	0	0	0	0	0	0	0
portray	reap	0	0	1	0	0	0	0	0	0	0
understand	develop	4	3	1	0	0	0	3	3	3	2
fail	discourage	1	1	2	0	0	0	1	3	6	3
reach	get	4	4	5	3	5	2	5	4	3	6
join	gather	5	1	6	3	0	1	0	6	5	4
push	tug	1	0	1	0	0	0	1	0	0	1
shake	wag	5	4	3	3	5	4	1	3	6	1
win	defeat	0	4	4	0	0	0	1	0	0	0
get	conquer	4	0	4	2	1	0	3	4	0	4
vanish	diminish	5	4	6	4	1	3	5	2	6	5
lower	bumble	0	0	1	0	0	0	0	1	0	0
accept	recommend	2	0	0	0	0	0	1	2	0	1
thaw	melt	5	4	5	5	6	6	6	6	6	2
divide	split	5	4	6	5	6	6	6	6	6	6
unload	dump	5	0	5	4	5	4	6	6	6	5
decrease	reduce	5	5	6	6	6	6	6	6	6	6
receive	take	4	5	1	4	6	2	3	5	0	6
kill	mistreat	4	0	4	3	0	1	1	4	0	4
look	glance	5	4	5	6	5	5	5	6	6	6
demand	take	4	4	5	1	0	4	5	4	3	4
know	comprehend	5	4	4	6	1	5	5	6	6	4
like	imitate	3	0	1	0	0	0	1	3	0	0
move	haul	4	5	6	6	4	2	3	6	6	1
hesitate	announce	2	0	0	0	0	0	0	1	0	0
pay	receive	1	5	2	2	0	0	0	1	0	0
amuse	amaze	1	5	1	0	0	0	2	3	0	0
hypnotize	remember	1	0	1	0	0	0	1	1	0	0
receive	achieve	1	0	1	0	0	0	1	0	3	0
hitch	attach	0	4	1	0	5	1	2	4	5	1
dash	run	5	3	5	5	6	5	5	5	6	5
receive	give	0	0	1	0	0	0	0	2	0	1
broil	burn	1	2	3	1	1	1	1	1	2	3
overwhelm	restore	0	0	1	0	0	1	0	0	0	0
testify	lie	0	0	1	1	0	1	0	0	0	0
move	vacate	1	4	5	3	3	3	3	5	5	5
recommend	suggest	5	6	5	5	5	4	5	5	5	6
boil	bake	0	0	1	0	3	1	2	2	2	1
renounce	degrade	0	2	3	3	2	3	4	4	1	2
pinch	prick	5	2	4	2	3	1	1	5	4	5
make	develop	3	5	5	2	3	3	2	5	5	4
drink	blend	0	0	3	0	1	2	0	0	0	0
stay	leave	0	0	1	0	0	0	0	0	0	0
wreck	destroy	4	6	5	6	6	5	6	6	6	5
participate	say	0	2	4	3	3	3	0	2	4	2
retreat	hide	0	5	5	5	4	3	3	5	1	4
spawn	reproduce	1	4	5	6	5	6	2	6	4	3
hang	kill	1	4	4	1	1	3	3	3	5	1
explain	understand	0	0	1	0	0	2	1	4	0	2
build	accumulate	4	5	2	1	3	2	3	2	1	1
tell	notify	5	3	5	5	6	5	1	5	5	6
inquire	ask	6	4	1	6	5	6	5	6	6	6
dismay	worry	1	2	2	4	6	2	2	2	4	6
jump	pounce	5	3	5	5	5	6	6	4	5	4
insult	degrade	3	5	5	5	4	4	5	6	5	5
pinch	bite	1	0	2	2	1	0	0	3	3	3
stop	hesitate	1	3	4	4	2	3	5	3	3	3
misspend	pass	0	0	1	1	0	2	0	3	0	0
originate	begin	4	4	5	6	6	5	5	1	5	5
destroy	seek	0	0	1	0	0	0	0	0	0	0
lounge	relax	5	3	5	5	6	4	4	5	4	6
swing	fall	0	1	1	0	0	0	0	1	0	2
hit	attack	2	4	5	5	6	3	6	3	3	4
excel	advance	3	5	4	1	6	5	1	3	3	4
punish	forbid	0	1	2	1	3	0	2	2	1	2
relax	stretch	1	2	3	2	3	1	0	2	3	5
criticize	offend	1	1	4	4	2	5	0	2	1	0
freeze	embarrass	0	0	1	0	1	0	0	1	0	0
drive	walk	0	0	1	1	1	0	0	0	3	3
invent	create	5	4	5	5	5	4	5	5	5	4
beg	steal	0	0	1	0	0	2	0	0	0	0
create	reproduce	4	3	5	4	3	4	0	5	2	1
hear	repeat	0	0	1	0	1	0	0	0	0	2
neglect	reject	1	1	3	1	6	1	1	1	3	3
push	urge	5	6	4	4	5	1	3	5	5	2
reduce	diminish	5	4	4	5	6	4	0	5	2	6
determine	set	2	3	1	2	6	2	1	4	4	5
haul	take	1	2	4	1	3	2	3	4	3	3
disintegrate	burn	1	4	2	5	0	1	5	3	4	2
toss	tumble	5	2	5	1	1	0	1	0	2	0
invite	encourage	6	2	6	2	0	1	0	4	4	0
toil	sweat	5	4	6	3	0	2	0	5	4	4
obey	permit	1	3	1	2	0	0	0	0	1	0
begin	introduce	5	3	2	4	2	2	0	2	3	3
awake	kneel	1	0	0	1	0	0	0	0	1	0
apply	use	4	3	4	4	4	4	3	4	4	6
bumble	fall	2	5	5	4	4	5	5	1	3	5
throw	aim	1	3	5	3	3	1	0	4	3	2
guess	suspect	3	5	6	5	5	2	5	5	5	5
justify	prove	4	4	6	4	4	5	0	5	4	2
catch	obtain	2	4	5	4	4	4	5	2	3	2
sew	mend	1	3	6	5	6	4	5	5	3	5
crunch	smash	4	4	5	4	4	5	1	6	3	5
release	drain	1	2	2	3	2	2	5	4	3	1
repeat	do	1	2	2	2	1	1	1	1	4	3
operate	entertain	1	1	0	2	0	0	0	0	4	0
carry	haul	5	4	6	5	5	5	6	4	5	5
draw	design	2	3	5	4	4	1	5	3	5	3
avoid	neglect	1	2	0	5	5	4	5	0	5	5
remember	learn	4	2	2	5	3	2	1	0	5	2
seem	pretend	1	2	5	3	5	0	0	4	5	3
gain	learn	1	3	4	3	4	1	0	0	4	4
burst	laugh	1	1	2	2	2	0	0	0	4	1
gather	leave	1	0	0	1	0	0	0	0	2	1
seek	find	1	4	5	0	6	2	6	3	6	6
hear	pretend	1	0	0	0	0	0	0	0	1	0
reap	prosper	1	4	5	0	5	3	5	4	5	2
disgust	offend	5	5	6	4	6	6	4	5	4	5
accuse	prosecute	2	4	6	3	4	1	0	4	4	5
dunk	drown	1	4	5	3	3	1	5	4	4	4
compete	fight	2	1	5	3	6	3	4	4	5	4
raise	ascend	5	5	4	5	6	3	6	1	6	6
perceive	assume	2	4	4	2	5	1	5	0	4	4
shake	stir	3	4	1	1	3	2	3	3	2	3
disallow	forbid	6	5	6	1	6	6	6	6	6	5
deny	request	1	0	0	0	0	0	0	0	1	0
disbelieve	believe	1	0	0	0	0	0	0	0	1	0
scare	scream	1	2	0	2	0	1	3	0	3	3
examine	observe	4	3	5	6	6	6	6	2	6	4
beat	mix	3	3	4	4	5	1	0	6	5	3
learn	read	1	0	4	2	2	0	0	0	4	1
leave	float	1	0	1	1	0	0	0	0	1	0
rise	lower	1	0	0	0	0	0	0	0	1	0
buzz	sew	1	0	0	1	0	0	0	0	2	0
evict	move	1	1	5	1	0	0	0	3	3	2
disintegrate	destroy	3	3	5	4	4	4	4	5	5	5
suggest	talk	1	1	4	1	4	0	0	0	4	2
meet	join	1	5	5	2	4	3	3	2	4	3
attack	kill	2	2	1	3	1	3	3	3	4	1	5
punish	spank	2	4	4	4	2	3	3	4	5	4	4
start	create	0	1	1	1	3	4	2	3	6	1	0
bleach	acknowledge	0	1	0	1	0	0	0	0	0	0	0
go	strive	0	3	0	2	3	2	1	3	0	1	2
disturb	awake	3	4	3	2	3	4	4	3	5	2	3
stain	tarnish	5	5	3	6	4	3	4	2	6	3	4
produce	make	4	6	5	6	6	6	5	6	6	4	5
stop	warn	2	5	0	2	2	3	3	2	0	1	3
travel	come	1	4	0	2	3	5	2	3	1	2	0
fly	cruise	4	3	0	2	2	2	3	0	0	1	0
move	shift	6	5	4	6	5	5	5	3	5	2	4
refuse	slide	0	1	0	1	1	0	0	0	0	0	0
touch	pinch	2	1	2	2	4	2	2	5	0	1	0
examine	see	5	4	3	3	5	5	5	6	5	4	6
laugh	cough	0	1	0	1	0	0	1	0	0	0	0
grab	obtain	3	2	3	2	4	4	3	3	4	3	1
notify	inform	4	6	3	4	6	6	6	6	5	6	6
object	disagree	5	5	5	6	5	0	4	4	6	6	6
fold	wrap	1	5	3	5	2	4	2	3	1	1	4
perish	disappear	0	1	0	3	4	5	2	4	2	2	1
transplant	change	2	1	0	2	3	5	2	2	3	3	5
turn	stir	3	1	0	3	4	5	3	3	3	1	5
shake	collect	0	1	0	1	0	0	0	0	0	0	0
get	bring	3	1	1	3	2	4	3	0	1	2	4
look	find	5	1	2	1	4	4	4	2	3	6	1
swap	give	2	2	0	1	3	3	2	5	2	0	1
bring	take	1	1	0	1	3	0	2	3	1	0	2
accept	allow	4	5	2	5	5	5	5	4	5	3	3
bake	make	1	3	1	5	4	5	4	6	4	6	2
destroy	smash	4	5	2	3	4	5	4	5	4	4	5
disintegrate	deteriorate	4	5	2	4	4	4	3	3	5	3	5
accuse	insult	2	2	1	3	4	5	2	4	1	2	0
punish	scold	5	6	1	5	3	5	4	5	5	5	2
renounce	defeat	0	1	0	4	5	5	2	2	1	2	0
worry	doubt	4	1	2	2	5	5	3	3	6	3	5
disintegrate	demolish	2	2	1	4	4	3	2	3	1	3	4
incline	press	0	1	0	3	4	3	1	1	0	3	0
increase	accelerate	2	1	2	4	5	5	4	6	2	4	4
make	create	6	5	2	5	4	5	6	6	6	6	6
deteriorate	disappear	2	2	1	3	5	4	1	1	0	3	4
disappear	disintegrate	3	4	1	5	5	6	1	3	1	2	5
fix	heal	4	4	3	4	5	5	4	5	6	3	4
pounce	surprise	3	3	2	3	2	5	3	1	1	3	4
result	happen	0	1	1	2	3	6	5	4	6	4	4
shove	leap	0	1	0	1	1	2	1	0	0	1	0
flee	fight	0	1	0	2	1	2	0	0	0	0	0
cry	tease	0	1	0	2	1	2	0	4	0	0	0
haunt	scare	1	2	1	5	5	4	5	6	5	3	4
beat	overpower	1	3	2	6	4	6	3	5	6	5	3
assault	fight	5	5	4	3	6	4	3	6	5	3	4
snap	break	4	6	5	4	6	4	6	3	6	3	4
explain	mow	0	0	0	0	0	1	0	0	0	0	0
depart	leave	6	6	6	6	6	5	6	6	6	5	6
bargain	settle	2	0	2	2	4	3	1	5	4	4	2
blame	hurt	2	0	2	1	2	2	1	3	2	2	0
fall	bounce	0	0	1	2	3	1	0	2	1	1	0
write	talk	2	0	2	2	2	0	0	0	1	2	0
weave	drive	1	0	3	1	0	0	0	0	1	0	0
crackle	snap	3	3	5	0	5	3	1	4	1	1	0
drip	melt	3	4	4	3	4	3	0	4	4	1	3
angle	toss	3	0	1	2	3	0	0	0	1	0	1
disappoint	fail	5	4	3	3	4	2	2	5	6	1	2
hurt	stab	3	4	3	2	5	4	2	4	4	2	2
rinse	flush	4	5	5	3	5	4	2	0	3	3	5
drag	haul	5	6	4	4	5	4	6	6	5	5	6
dissolve	fade	3	4	6	2	6	1	2	6	4	2	5
go	leave	5	6	5	5	6	3	5	4	6	6	5
steal	grab	2	3	4	3	5	1	5	4	5	2	4
perceive	think	6	2	4	3	2	3	5	5	5	4	3
despair	help	0	0	0	1	0	0	0	0	0	0	0
drink	slurp	5	5	4	3	6	5	3	5	4	4	2
attend	come	4	6	5	5	6	6	5	6	6	4	5
read	write	2	1	0	3	0	2	0	0	2	2	0
give	lend	5	5	3	4	3	3	3	5	4	3	5
detach	tear	3	5	4	4	6	4	2	5	3	4	5
desire	need	4	2	3	4	4	1	1	3	4	3	5
glide	slide	3	4	3	4	4	3	1	1	4	3	4
wear	strain	0	2	4	1	3	0	1	4	0	2	3
get	acquire	5	6	6	6	6	6	5	6	6	6	6
confess	talk	2	3	3	2	2	2	3	2	4	2	2
hear	listen	6	0	4	2	6	2	6	6	6	1	5
earn	yearn	0	0	0	2	0	0	0	0	4	0	0
disintegrate	erode	4	0	4	3	6	4	1	6	5	5	2
reap	recycle	1	1	2	1	0	0	0	0	1	0	0
sit	rise	0	0	0	1	1	0	0	0	0	0	0
finish	do	3	0	2	3	3	3	0	4	4	4	1
disappear	decompose	3	3	3	3	5	2	4	3	4	3	2
worry	think	2	0	2	2	4	1	0	1	3	2	0
leap	struggle	0	0	1	1	3	0	0	0	1	0	0
return	come	3	3	4	2	0	2	0	1	2	2	1
originate	start	5	5	5	4	6	6	4	6	6	3	6
wreck	drive	0	0	0	2	0	0	0	0	4	0	0
blame	excuse	1	0	1	1	0	1	0	0	5	0	0
throw	toss	5	5	6	4	5	4	4	6	6	6	6
read	exchange	0	0	1	1	3	0	0	1	0	0	0
erode	fade	2	3	4	4	5	4	1	5	5	3	3
drip	spill	3	3	3	3	5	4	1	3	4	3	1
wag	move	1	4	2	2	4	3	0	2	4	0	2
attack	engage	2	5	3	3	4	3	0	6	4	0	2
hurt	squeeze	3	0	0	4	2	2	0	2	3	1
criticize	complain	4	0	0	3	3	4	6	2	3	4
appear	come	2	0	0	3	1	3	3	2	2	6
admit	chew	0	0	0	4	0	0	0	0	0	0
fight	tackle	2	0	1	4	3	3	2	2	2	4
rescue	help	5	0	2	4	4	6	6	1	5	6
nullify	avoid	3	0	0	4	1	1	0	1	0	1
shatter	break	6	0	2	5	5	4	6	5	6	5
join	adjourn	0	0	0	3	2	0	0	2	0	0
hate	ignore	1	0	0	3	1	1	0	1	0	2
define	mean	6	4	1	2	2	2	6	3	0	5
polish	tarnish	5	0	0	2	0	0	0	1	2	4
mix	combine	6	4	4	3	5	6	6	3	6	6
presume	suppose	6	6	5	4	4	3	6	4	6	6
assault	hurt	3	2	4	4	4	3	6	4	5	6
drench	quench	2	0	2	4	3	4	4	2	0	1
leave	walk	1	0	0	1	2	0	2	1	2	2
deliver	get	4	0	0	1	1	0	4	2	0	0
glance	stare	0	0	0	2	3	0	3	2	3	2
persuade	discourage	0	0	0	3	1	0	0	1	5	0
kill	foil	1	0	0	3	0	0	0	0	0	3
fly	swim	0	0	0	2	0	0	0	0	0	0
hurt	ache	3	1	4	2	2	5	6	1	4	6
accept	deliver	2	0	0	5	2	0	0	1	0	0
integrate	mix	5	3	3	4	5	4	6	1	5	5
grate	annoy	4	5	2	5	1	3	6	2	5	6
go	sell	0	0	0	3	0	0	0	1	0	0
multiply	divide	0	0	0	2	0	0	0	1	0	0
vanish	perish	2	1	0	5	2	4	4	1	2	4
perish	burn	1	0	0	5	2	0	0	3	0	3
talk	listen	0	0	0	4	0	0	2	1	0	0
move	hustle	3	2	2	3	4	0	6	2	0	6
visit	haunt	0	0	0	3	1	0	0	1	3	2
choose	predict	4	0	0	4	2	3	6	2	0	5
offend	defend	0	0	0	5	0	0	0	1	0	0
accomplish	finish	2	6	2	4	5	6	6	2	4	5
flex	bend	6	6	3	4	5	4	6	3	5	6
change	remain	0	0	0	2	0	0	0	1	0	0
replace	add	2	0	0	4	1	0	3	1	0	2
perform	entertain	5	0	4	5	3	6	6	3	6	5
deny	stop	1	2	1	5	4	3	2	0	0	5
win	dominate	2	0	0	6	3	3	2	0	0	6
leave	avoid	3	0	0	4	2	0	6	0	4	3
stumble	freeze	0	0	0	3	0	0	0	0	0	2
holler	scold	4	0	1	3	4	6	6	0	4	0
snore	snooze	3	1	2	6	3	3	0	3	0	4
blame	forgive	0	0	0	4	1	0	0	1	0	0
wrap	cover	6	6	4	6	5	5	6	3	4	6
leave	skip	3	1	3	5	1	0	3	2	0	2
disappear	dissolve	5	3	3	5	2	4	6	3	2	6
hurt	fall	0	2	2	2	1	2	2	0	3	0
marry	wed	0	6	6	6	6	5	6	6	5	5
learn	teach	1	4	0	4	2	1	1	0	4	0
reappear	show	1	4	0	4	3	1	2	6	3	5
need	depend	3	4	4	3	1	4	4	4	5	3
toast	cook	3	3	3	2	5	3	3	5	3	0
aim	strive	1	6	5	5	6	5	5	6	3	5
stop	yield	1	5	2	4	4	3	5	5	3	1
teach	explain	5	6	6	5	2	4	4	6	4	5
inspect	find	2	5	0	3	4	2	4	5	5	2
receive	acquire	2	4	6	5	5	3	5	3	5	5
plow	dig	3	5	1	4	6	3	2	6	5	5
release	unload	4	5	4	4	6	4	3	5	5	3
understand	solve	1	4	4	3	5	1	2	1	5	5
recall	wake	0	4	1	2	1	1	1	0	4	0
protect	fight	1	4	0	3	2	2	3	2	3	1
run	avoid	0	3	3	3	1	3	2	2	5	2
prohibit	stop	5	3	5	5	6	3	5	6	5	0
steal	lie	0	4	1	2	4	1	1	1	2	0
vary	differ	6	4	6	6	6	3	5	6	5	5
